alpha,epsilon,tau_a,tau_b,IDWE
0.5710391484696978,0.7967464438733728,0.26509131087954746,0.8017219002454925,-0.15054654794599287
0.3236860944706806,0.44638692010073766,0.18997742423620262,0.5133240027692806,-0.15300654571557315
0.6886788459308153,0.14372395110401887,0.6857996256539677,0.15077042112439026,-0.1464105512519951
0.5904326190500536,0.9386141563067346,0.1007008892569129,0.992990403362096,-0.16329423413936528
0.5032881806428858,0.6120415073277927,0.10635967469774567,0.12075618253727419,-0.1411234522316529
0.22880506000448603,0.40046111074354035,0.1419990968922539,0.9763799669573134,-0.045027621910392224
0.9342370326583811,0.091515828098288,0.6565474083997787,0.4442157921404466,-0.15463831165666897
0.4334692968513705,0.46729613035473205,0.8739463660626887,0.7122767847290018,-0.14506566918019748
0.37229151238752123,0.014251696198706667,0.9479815801163677,0.6069593960609855,0.0955295727231541
0.6522677076959308,0.016950285967993986,0.30780444305993415,0.3169229194234106,-0.1560712834646727
0.7524119513874551,0.7000054214405431,0.21245233304482392,0.42529978152794634,-0.146531736234788
0.3709408511666426,0.518960144296503,0.8456793021814958,0.5013663715705886,-0.14204259021524424
0.5303704983651183,0.6948200996186957,0.6166492526667705,0.1390078678992777,-0.1398224396104768
0.6591236403742629,0.969291591774403,0.12386988346047063,0.5314235637761622,-0.14829510080221397
0.95,0.5084954193421153,0.37315449706242143,0.8670995232474901,-0.1388146053738848
0.7960348457808576,0.001,0.12315161902019736,0.7218844503121501,-0.14122636898662622
0.95,1.0,0.9274314570379156,0.7103083767944269,-0.1544789461097824
0.448338003690475,1.0,0.5507112495177332,0.9687864041953859,-0.14084437685668827
0.01,1.0,0.6620126145024047,0.25932888231782447,-0.14564255139430404
0.19778958074841788,1.0,0.10900951164828329,0.8447597518426281,-0.15611952666097717
0.2817431208367847,0.7705531891324521,0.10952269714875697,0.44588848987785523,-0.16209584353817807
0.48953898810390645,0.9499561006120892,0.9169190490260363,0.4598158866304265,-0.17629116082134533
0.5358143551909956,0.28302145419898717,0.9063918981565879,0.5282106190881176,-0.04411376074545359
0.2646871703293425,0.9407164233644509,0.881393675194461,0.1851744394459366,-0.15699439672575144
0.4726289501812545,0.23295092532608813,0.23357649148575765,0.24249907980641963,-0.14558247915238298
0.7516483654801368,0.16133028212596626,0.5412896491809884,0.3616539849277858,-0.15722429047312092
0.0726656123875702,0.828123135664555,0.9539361787624496,0.5066094211926624,-0.08503713802480806
0.07753420782243022,0.9781305921540282,0.9060843581389727,0.9923346564932026,-0.07958100363610487
0.8431120772857984,0.11478366847215402,0.29880749459959904,0.19180869578691362,-0.1515930859599639
0.872785448962604,1.0,1.0,0.1,-0.14708386362226378
0.6174079001893082,0.6644960912672507,0.8346725164465745,0.7161436204274397,-0.14350398464052505
0.15105542002707253,1.0,0.1,0.1,-0.14707673568088708
0.627672159182396,1.0,1.0,0.6586167508900086,-0.15752127340322097
0.5567838487825449,1.0,0.8484144508253137,0.3668001394434788,-0.13620387942870993
0.95,1.0,0.1,1.0,-0.14301794199555884
0.43662303418412673,0.7806610562245212,1.0,1.0,-0.15070918883071882
0.6604959248627368,0.1825749342151096,0.1,0.1,-0.14118153715892912
0.5963511881605066,0.9706788345174239,0.9060316745704019,0.20633389417496673,-0.15301665620332638
0.95,0.4798775057192779,1.0,0.1,-0.14572458823301804
0.8283714873791832,0.001,1.0,0.1,-0.013807611005374198
0.01,0.6269444624613388,0.38234433303126425,0.1,-0.14093883195817702
0.95,0.2744841129492502,0.5650587239060949,0.1,-0.14845705427571598
0.01,1.0,0.36870921938842627,0.1,-0.13184601973433185
0.95,0.7232172752301538,1.0,1.0,-0.15466553140503136
0.4425761104779449,0.4078221721098448,0.4689505658537847,0.12825862647948855,-0.14801579123735853
0.95,0.001,0.45030872987933124,0.2618370785946871,-0.164349934505297
0.95,1.0,0.47126347404482993,0.1,-0.13867242839701222
0.6836866969125447,0.770910887469316,1.0,0.1,-0.16378849929440675
0.95,0.6008988790125939,0.7761569775209168,0.1,-0.1585502574284734
0.95,0.36797658096991004,0.1,0.1,-0.15198974705528356
