alpha,epsilon,tau_a,tau_b,translation
0.5710391484696978,0.15930880082905977,0.26509131087954746,0.8017219002454925,-1000000.0
0.3236860944706806,0.08916710473796541,0.18997742423620262,0.5133240027692806,-1000000.0
0.6886788459308153,0.028574220717570244,0.6857996256539677,0.15077042112439026,-1000000.0
0.5904326190500536,0.18771060325044106,0.1007008892569129,0.992990403362096,-100.14839390961832
0.5032881806428858,0.12233102044449572,0.10635967469774567,0.12075618253727419,-1000000.0
0.22880506000448603,0.0799727944820794,0.1419990968922539,0.9763799669573134,-260.6247134205099
0.9342370326583811,0.018122196300129633,0.6565474083997787,0.4442157921404466,-1000000.0
0.4334692968513705,0.09335311188670277,0.8739463660626887,0.7122767847290018,-236.09038748064413
0.37229151238752123,0.002653978967012147,0.9479815801163677,0.6069593960609855,-320.04505869825545
0.6522677076959308,0.00319423447779062,0.30780444305993415,0.3169229194234106,-1000000.0
0.24878324074579927,0.0862417291773959,0.13801835046580913,0.9817515910504686,-244.57914286340358
0.4309984112640267,0.09127614158562851,0.8867750266710158,0.7099121063926216,-156.019847627286
0.3677671466780412,0.003825970704377954,0.9503061074121705,0.610540166896241,-297.7047041062647
0.2823481738303542,0.0953216583304815,0.13252425833552986,0.985019650341037,-224.50241421027533
0.5217661063406506,0.16641544947832518,0.1087509301399192,0.986853918228255,-122.49155231734392
0.2965510184213738,0.1006891602755028,0.13282234862306283,0.9821363276507359,-214.1203514915238
0.6101493305892963,0.19372594464775925,0.10018092751027564,0.9886847851188301,-90.27430461904775
0.3450881898342044,1e-06,0.9538456017084069,0.6103550990993152,-1000000.0
0.3236230061353928,0.11036916639834536,1.0,0.8411321238933327,-310.57602037502915
0.34023264740463594,0.127637187435084,1.0,0.8814242857415033,-291.66858203382424
0.24738181439106388,0.10277535172899327,1.0,0.8905361627414212,-314.262620165902
0.3356529551844816,0.013935705690301458,0.9499393389095856,0.6124809731388843,-300.3905651415968
0.5347258412697394,0.018759121450696786,0.9493890408260952,0.6117532952770782,-299.62400331479864
0.33010996820867555,0.14706930964491846,0.9493777119329929,0.6095639306436593,-297.67602617722457
0.5095098367332904,0.037876870636360326,0.949997395552584,0.608560369616434,-294.90448330556103
0.098757014284634,0.10702376989688277,0.9476702515666429,0.5913285937227631,-303.06873207931994
0.6020215046111479,0.1892153408867206,0.10060359865086435,1.0,-97.57517441817147
0.36472030830377916,0.18097151323918353,0.10875244889338388,1.0,-113.99579998784107
0.661026196827829,0.1547742178220792,0.10877121776764327,1.0,-107.3405706234832
0.03667429655185815,0.10196134810011637,0.9501925571210617,0.6065265317265697,-303.2725171751714
0.4497259099860531,0.1221507129861174,0.8865236491186217,0.7099583245276663,-284.3649963355376
0.11260620585161056,0.17477057436403148,0.9482845822876824,0.6068475277653148,-307.0856710700237
0.3387461250897658,0.1449680010670991,0.14140937362069433,0.9788397017795895,-152.9551368429675
0.3574715221121221,0.0390844516821039,0.8742887847688982,0.7122104213778058,-291.1679489467001
0.5471215101233271,0.1725680905028243,0.10059331297608574,1.0,-112.20546661865957
0.17729324355258197,0.06875080765547928,0.9500028295636982,0.6104482667816985,-299.814085360828
0.4735852768696409,0.037565742399262775,0.9501513587989958,0.6073427399467954,-295.7686533873527
0.01,1e-06,0.9487974410849557,0.5827048790781766,-1000000.0
0.6664251428571417,0.17309733990340706,0.947548235128232,0.5926312374335447,-80.46538845746643
0.14975136183200755,0.16075081879715888,0.10854392108780506,0.9994049789687737,-126.53730389173381
0.4682201052758753,0.18399940739422693,0.100315208153264,0.9890677099025486,-118.25300801774135
0.25932575573008226,0.1421760824912812,0.10068418311588333,0.9990420005954777,-140.52106173556786
0.2900089219089439,0.10231874559821688,0.13775349016494548,0.981102542090354,-211.55489332860944
0.8449962544568094,0.04632730197300992,0.1327887462171008,0.9835635135906412,-250.85491866796326
0.15815079491276202,0.07507767125541698,0.14159155922571476,0.9775025437782309,-281.83621063470383
0.07820105988090192,0.04309218348777318,0.10865794227614854,0.9881077035829766,-316.38219615457064
